,id,description,price,address,date added,agent
2325,66265741,2 bedroom apartment for sale,374995,"Macintosh Mills, 4 Cambridge Street",10/07/2018," by Buckley Frayne, Manchester"
2324,56668767,3 bedroom flat for sale,374995,"Bridgewater Wharf Apartments, Manchester, Greater Manchester, M5",18/09/2018, by Parker Buchanan Estates Ltd
2312,62574229,3 bedroom house for sale,375000,"The Boatsteps, Worsley, Manchester, Greater Manchester, M28",07/11/2017," by Lawrence Copeland  (Town & City Centre), Manchester"
2313,56685681,4 bedroom semi-detached house for sale,375000,"Tanfield Road, East Didsbury, Manchester",19/09/2018," by Julian Wadden, Didsbury"
2314,75021059,3 bedroom house for sale,375000,"Merchants Quay, Salford Quays, Greater Manchester, M50",17/08/2018," by JLL, Manchester"
2315,63189733,2 bedroom apartment for sale,375000,"'Silverwood', Barlow Moor Road, Didsbury, Manchester",15/12/2017," by Philip James Kennedy, Didsbury"
2316,75398942,3 bedroom terraced house for sale,375000,"Northumberland Way, Sharston, Manchester, ., M22",05/09/2018," by Bridgfords, Cheadle"
2319,53624967,7 bedroom block of apartments for sale,375000,"Albert Road, Manchester",13/06/2018," by Edward Mellor Ltd, Levenshulme"
2320,75136712,4 bedroom semi-detached house for sale,375000,"Lynway Drive, Didsbury, Manchester, M20",12/10/2018," by Bridgfords, Didsbury"
2321,57360111,2 bedroom penthouse for sale,375000,"Didsbury Gate, West Didsbury, Manchester",17/10/2018," by Julian Wadden, Didsbury"
2322,67631806,2 bedroom apartment for sale,375000,"New Development, John Dolton Street",21/09/2018, by Julie Twist Properties
2323,75554849,3 bedroom apartment for sale,375000,"Junction Of Regent Road and Oldfiel, Manchester, M5",11/09/2018, by Keller Williams Prime Properties
2311,76568957,5 bedroom detached bungalow for sale,375000,"Barton Lane, Eccles",24/07/2018," by Home Estate Agents, Monton"
2318,75317099,3 bedroom apartment for sale,375000,"The Linx, 25 Simpson Street, Northern Quarter",01/09/2018," by Goodwin Fish, Manchester"
2310,76075316,2 bedroom penthouse for sale,375000,"Hood Street, Manchester, M4",03/10/2018, by Surrenden Invest
2317,67542997,4 bedroom semi-detached house for sale,375000,"Warwick Road South, Manchester",03/10/2018," by The Express Estate Agency, Nationwide"
2308,54856440,3 bedroom bungalow for sale,375000,"Oakwell Drive, Salford, Salford",24/08/2018," by Herwald Sales & Lettings, Prestwich"
2309,56818107,2 bedroom duplex for sale,375000,"Mason Street, Manchester, Greater Manchester, M4",26/09/2018, by Cushman & Wakefield
2307,76545362,2 bedroom apartment for sale,376000,"Little Peter Street, Manchester, Greater Manchester, M15",20/10/2018, by Flambard Williams Limited
2306,67631818,2 bedroom apartment for sale,376500,"New Development, John Dolton Street",21/09/2018," by Julie Twist Properties, Manchester"
2304,76602026,3 bedroom flat for sale,377495,"Danforth Apartments at Fortis Quay, DanfAp68,  Salford, Greater Manchester, M50",23/10/2018, by Parker Buchanan Estates Ltd
2303,56346396,3 bedroom apartment for sale,378500,"17 The Corner, Broughton Park",31/08/2018," by Aubrey Lee & Co, Prestwich"
2302,76203602,2 bedroom apartment for sale,379950,"Didsbury Lodge Hall, 827 Wilmslow Road, Didsbury, Manchester",08/10/2018," by Philip James Kennedy, Didsbury"
2301,65835737,2 bedroom apartment for sale,379950,"Carding - Manchester New Square, Princess Street, Manchester, Greater Manchester, M1",18/04/2017, by JLL
2300,76692335,3 bedroom flat for sale,379995,"Danforth Apartments at Fortis Quay, DanfAp75,  Salford, Greater Manchester, M50",, by Parker Buchanan Estates Ltd
